INFO_TIME,COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
╕ъо╞о╔╢б,┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-004","дWе|з°",704,1739,888,851
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-009","дjжNз°",1357,4021,2077,1944
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-005","дд┐│з°",574,1494,751,743
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-008","дн╡▓з°",1421,4009,2117,1892
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-006","е|╡▓з°",1076,2717,1377,1340
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-014","жи┐│з°",1151,3442,1770,1672
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-013","зQ┐Aз°",833,2453,1255,1198
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-011","з╡л┬з°",582,1705,901,804
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-010","иєйMз°",1272,3528,1825,1703
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-015","йu╖sз°",1125,3337,1735,1602
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-007","║╓┐│з°",696,2009,1058,951
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-012","└A▓│з°",581,1752,930,822
"103Y3M","10002","йy─ї┐д","10002090","дн╡▓╢m","10002090-003","┬эжwз°",957,2826,1471,1355
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-012","дK─_з°",341,992,535,457
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-004","дTй_з°",342,1110,580,530
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-013","дYдsз°",546,1656,868,788
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-024","дj╢iз°",342,956,539,417
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-005","дj┐│з°",354,1089,591,498
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-014","дддsз°",203,550,294,256
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-011","д╙йMз°",572,1727,906,821
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-009","еVдsз°",404,989,526,463
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-016","е├м№з°",1276,3389,1735,1654
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-010","жwенз°",275,869,447,422
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-006","кFл░з°",540,1719,884,835
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-001","кZ▓Wз°",523,1344,716,628
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-008","лn┐│з°",1187,3785,1855,1930
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-023","м_кLз°",689,1927,1001,926
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-002","м├п]з°",611,1883,958,925
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-007","н╗йMз°",1105,3590,1790,1800
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-020","▒oжwз°",471,1335,712,623
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-018","▓M╖╛з°",1512,4483,2209,2274
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-019","│└оHз°",928,2681,1475,1206
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-015","╢╢жwз°",2010,5757,2933,2824
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-017","╕sн^з°",2002,5555,2786,2769
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-003","╕╔л░з°",474,1366,703,663
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-022","╝sжwз°",692,1978,997,981
"103Y3M","10002","йy─ї┐д","10002080","еVдs╢m","10002080-021","╝s┐│з°",1041,2938,1476,1462
